 87+1/2 =    87.5    
 23-3 =    20.0    
 56*7 =    392.0    
 6-3 =    3.0    
 8 =    8    
 .2*.3 =    0.06    
 12/6-3 =    -1.0    
 12/6-3 =    -1.0    
 4*6 =    24.0    
 4*5 =    20.0    
 6*3-6 =    12.0    
 0.0522 =    0.0522    
 0.05223+3*6 =    18.05223    
 635210.7/3 =    211736.9    
 52. =    52.    
 567/3 =    189.0    
 456/3 =    152.0    
 57*3 =    171.0    
 2.3 =    2.3    
 523*6 =    3138.0    
 -87.0 =    -87.0    
 1-2 =    -1.0    
 9/0 =   Error   
 8/0 =   Error   
 You have entered incorrect input!5*2 =    You have entered incorrect input!10.0    
 0.98*7 =    6.859999999999999    
 -6+3 =    -3.0    
 -3-6 =    -9.0    
 62/0 =   Error   
 25/5 =    5.0    
 3-6 =    -3.0    
 9.87-3 =    6.869999999999999    
 52 =    52    
 526*3 =    1578.0    
 23 =    23    
 2.3 =    2.3    
 2.3-3.2 =    -0.9000000000000004    
 23-32 =    -9.0    
 23 =    23    
 5.2-3.25*6 =    -14.3    
 .23-.2 =    0.03    
 72+5 =    77.0    
 72*5 =    360.0    
 2/0 =   Error   
  =        
 8/2 =    4.0    
 5*3 =    15.0    
 6-3 =    3.0    
 125-75.0 =    50.0    
 23*2 =    46.0    
 52-26.0 =    26.0    
 5-3.0 =    2.0    
 5-3.0 =    2.0    
 5-3 =    2.0    
 5-3.0 =    2.0    
 45/2 =    22.5    
 56 =    56    
 5*6 =    30.0    
 2/0 =   Error   
 23-63*6 =    -355.0    
 8/7 =    1.1428571428571428    
 6 =    6    
  =        
  =        
  =        
 5+3 =    8.0    
 8/7 =    1.1428571428571428    
  =        
 76. =    76.    
 0.760 =    0.760    
 0.7607 =    0.7607    
 7/0 =   Error   
